player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Zellsis,SEN,0.98,175.1,0.93,73%,111.8,0.61,0.41,0.07,0.09,23%,14%
Nora,SOL,0.98,193.1,1.00,76%,126.8,0.67,0.37,0.10,0.08,31%,23%
Ambi,VLNT,0.98,186.8,0.95,71%,119.9,0.65,0.36,0.08,0.10,28%,11%
sym,TSM,0.98,230.1,1.03,68%,151.3,0.82,0.19,0.22,0.20,29%,22%
Boo,TH,0.98,180.2,0.95,74%,113.8,0.64,0.38,0.08,0.06,31%,14%
Francis,SPG,0.98,178.2,0.97,75%,115.2,0.66,0.41,0.07,0.09,28%,9%
sabooboo,RF.GC,0.98,187.9,0.95,77%,119.7,0.66,0.44,0.07,0.11,23%,21%
hiro,FNC,0.98,185.2,1.02,73%,118.8,0.66,0.28,0.06,0.08,28%,16%
rood,GLRS,0.98,171.3,0.96,71%,112.9,0.59,0.30,0.06,0.09,21%,22%
Aace,,0.98,187.2,0.99,74%,120.8,0.71,0.30,0.04,0.06,27%,21%
zerona,Fish,0.97,201.5,0.94,72%,139.6,0.70,0.30,0.09,0.10,27%,16%
Obnoks,MOUZ,0.97,186.2,0.89,77%,130.1,0.63,0.41,0.07,0.06,27%,14%
leaf,G2,0.97,202.7,0.93,69%,138.5,0.70,0.19,0.14,0.10,21%,11%
sayuri,MIBR.GC,0.97,168.8,0.88,79%,110.3,0.57,0.59,0.06,0.06,21%,24%
Emman,NAOS,0.97,196.3,0.95,75%,122.4,0.67,0.40,0.07,0.09,31%,14%
Slandy,RF.GC,0.97,162.2,0.87,68%,106.9,0.59,0.37,0.04,0.05,25%,15%
Bgg,R8,0.97,189.8,0.97,68%,126.8,0.67,0.25,0.11,0.11,26%,17%
MiniBoo,TH,0.97,206.0,0.99,69%,134.5,0.72,0.18,0.16,0.16,30%,14%
car,AxS,0.97,210.5,0.99,67%,147.0,0.74,0.22,0.21,0.17,23%,5%
Celasun,PCF,0.97,181.2,1.03,73%,124.5,0.65,0.20,0.05,0.06,29%,9%
eyan,ROSE,0.97,199.1,0.86,67%,135.2,0.67,0.41,0.06,0.08,36%,10%
Saalped,SGZ,0.97,196.6,0.99,70%,135.6,0.69,0.16,0.09,0.11,33%,20%
Natasha,LOUD.GC,0.97,185.4,0.99,71%,123.9,0.67,0.23,0.09,0.08,32%,12%
JotaG,OFF,0.96,215.9,0.98,66%,141.6,0.77,0.14,0.18,0.15,27%,29%
starki,MOUZ,0.96,194.3,0.98,70%,124.0,0.69,0.28,0.11,0.10,29%,19%
RobbieBk,JL,0.96,185.1,0.90,71%,125.8,0.66,0.26,0.05,0.09,31%,31%
ExciteMVP,WVU,0.96,189.1,0.88,72%,128.3,0.63,0.24,0.07,0.04,24%,6%
trent,G2,0.96,195.9,0.89,68%,132.5,0.65,0.31,0.09,0.11,30%,10%
Insider,KPI,0.96,192.1,1.01,65%,134.4,0.65,0.18,0.10,0.09,34%,21%
suther,RETA,0.96,181.1,0.91,74%,116.0,0.62,0.39,0.07,0.07,26%,13%
Tempo,SNS,0.96,207.5,1.00,66%,137.2,0.73,0.14,0.10,0.11,30%,17%
benjyfishy,TH,0.96,190.3,1.02,69%,127.9,0.70,0.18,0.08,0.12,36%,16%
Jiex,KPI.S,0.96,194.2,0.90,74%,124.7,0.65,0.41,0.05,0.06,35%,17%
Mited,EXL,0.96,181.2,0.92,74%,121.9,0.61,0.43,0.05,0.07,20%,14%
Elab0rate,SOL,0.96,185.6,1.00,68%,124.0,0.68,0.16,0.11,0.11,32%,19%
dynamic,TOR,0.96,206.0,0.97,71%,135.0,0.73,0.30,0.13,0.11,26%,21%
benjii,FOE,0.95,193.9,0.97,69%,127.7,0.65,0.17,0.08,0.07,23%,15%
neT,M80,0.95,181.2,1.00,70%,120.5,0.65,0.16,0.09,0.09,33%,11%
Vital,Six,0.95,170.4,0.85,72%,117.4,0.59,0.40,0.05,0.08,28%,3%
Ginilson,KG,0.95,201.8,0.96,68%,140.5,0.71,0.23,0.08,0.12,30%,16%
BcJ,M80,0.95,188.4,0.96,75%,123.0,0.65,0.34,0.08,0.10,20%,20%
peixeh,pug,0.95,191.9,0.90,67%,129.9,0.65,0.25,0.09,0.10,28%,14%
Mazino,LEV,0.95,194.8,0.94,70%,125.6,0.69,0.36,0.09,0.09,27%,18%
FengF,TE,0.95,203.1,1.02,67%,132.4,0.71,0.10,0.13,0.14,29%,15%
May,NCL.GC,0.95,172.8,0.97,70%,118.9,0.60,0.21,0.04,0.10,17%,18%
hype,APK,0.95,187.7,0.95,70%,123.8,0.65,0.25,0.10,0.09,28%,17%
adora,HERO,0.95,210.0,0.94,67%,144.1,0.72,0.21,0.18,0.17,30%,8%
BeYN,DRX,0.95,175.6,0.97,73%,115.2,0.64,0.26,0.05,0.09,25%,28%
yatsuka,RID,0.94,191.1,1.02,73%,123.0,0.73,0.21,0.11,0.07,32%,23%
duhT,LBR,0.94,191.5,0.88,72%,130.0,0.64,0.32,0.11,0.08,20%,5%
v1nny,RED,0.94,176.2,0.98,72%,114.4,0.63,0.28,0.06,0.05,34%,22%
alvinboy,Burg,0.94,198.5,0.93,66%,132.3,0.70,0.25,0.11,0.15,28%,21%
mummAy,FAIM,0.94,162.2,0.93,71%,106.9,0.60,0.34,0.03,0.06,30%,13%
alexiiik,GN,0.94,212.4,1.02,63%,139.0,0.76,0.14,0.19,0.18,31%,12%
Kiles,KPI,0.94,155.1,0.92,77%,104.4,0.55,0.38,0.02,0.04,31%,15%
JoXJo,RID,0.93,177.8,0.89,74%,110.8,0.64,0.31,0.07,0.06,27%,25%
Foxy9,DRX,0.93,180.3,0.93,71%,119.6,0.64,0.41,0.05,0.09,29%,15%
icy,G2,0.93,183.2,0.88,67%,124.5,0.65,0.21,0.12,0.13,30%,19%
KHaaLiD,TU,0.93,188.2,0.93,70%,124.6,0.66,0.28,0.07,0.09,32%,20%
Guardy,BAR,0.93,180.3,0.84,71%,119.5,0.61,0.38,0.06,0.06,27%,10%
nobody,EDG,0.93,180.2,0.95,72%,118.2,0.63,0.28,0.08,0.10,33%,24%
mxnor,pug,0.93,183.7,0.89,74%,117.0,0.65,0.41,0.04,0.11,36%,15%
lissa,TBS,0.93,196.5,0.92,65%,130.1,0.69,0.26,0.08,0.11,37%,14%
aproto,TSM,0.93,168.2,0.92,71%,112.6,0.61,0.23,0.05,0.05,36%,16%
Pr0digy,RLF,0.93,191.5,0.86,70%,128.8,0.68,0.29,0.09,0.12,30%,16%
sawamura,SISU,0.92,210.4,1.01,71%,135.2,0.76,0.17,0.18,0.12,39%,13%
tokyo,ROSE,0.92,191.7,0.93,67%,122.7,0.69,0.14,0.08,0.09,42%,15%
Champzera,GLRS,0.92,173.7,0.88,72%,115.3,0.61,0.38,0.07,0.07,29%,13%
chloric,FOE,0.92,191.9,0.94,69%,129.8,0.65,0.22,0.06,0.11,19%,10%
susbake,O1O,0.92,193.6,0.88,71%,130.6,0.66,0.23,0.09,0.10,31%,28%
